year,area,season,fire_num
2001,North Coast,summer,358
2001,North Coast,winter,78
2001,Central Coast,summer,791
2001,Central Coast,winter,132
2001,North Interior,summer,85
2001,North Interior,winter,12
2001,Sierra Nevada,summer,439
2001,Sierra Nevada,winter,104
2001,South Coast,summer,406
2001,South Coast,winter,185
2002,North Coast,summer,313
2002,North Coast,winter,89
2002,Central Coast,summer,698
2002,Central Coast,winter,139
2002,North Interior,summer,79
2002,North Interior,winter,18
2002,Sierra Nevada,summer,384
2002,Sierra Nevada,winter,111
2002,South Coast,summer,353
2002,South Coast,winter,172
2003,North Coast,summer,316
2003,North Coast,winter,120
2003,Central Coast,summer,736
2003,Central Coast,winter,140
2003,North Interior,summer,101
2003,North Interior,winter,29
2003,Sierra Nevada,summer,337
2003,Sierra Nevada,winter,147
2003,South Coast,summer,387
2003,South Coast,winter,115
2004,North Coast,summer,316
2004,North Coast,winter,100
2004,Central Coast,summer,671
2004,Central Coast,winter,200
2004,North Interior,summer,86
2004,North Interior,winter,26
2004,Sierra Nevada,summer,359
2004,Sierra Nevada,winter,112
2004,South Coast,summer,298
2004,South Coast,winter,115
2005,North Coast,summer,222
2005,North Coast,winter,67
2005,Central Coast,summer,807
2005,Central Coast,winter,87
2005,North Interior,summer,76
2005,North Interior,winter,16
2005,Sierra Nevada,summer,325
2005,Sierra Nevada,winter,68
2005,South Coast,summer,484
2005,South Coast,winter,67
2006,North Coast,summer,241
2006,North Coast,winter,82
2006,Central Coast,summer,907
2006,Central Coast,winter,263
2006,North Interior,summer,63
2006,North Interior,winter,17
2006,Sierra Nevada,summer,343
2006,Sierra Nevada,winter,104
2006,South Coast,summer,513
2006,South Coast,winter,150
2007,North Coast,summer,390
2007,North Coast,winter,110
2007,Central Coast,summer,888
2007,Central Coast,winter,224
2007,North Interior,summer,131
2007,North Interior,winter,32
2007,Sierra Nevada,summer,483
2007,Sierra Nevada,winter,121
2007,South Coast,summer,418
2007,South Coast,winter,231
2008,North Coast,summer,315
2008,North Coast,winter,104
2008,Central Coast,summer,723
2008,Central Coast,winter,247
2008,North Interior,summer,113
2008,North Interior,winter,48
2008,Sierra Nevada,summer,352
2008,Sierra Nevada,winter,170
2008,South Coast,summer,325
2008,South Coast,winter,262
2009,North Coast,summer,265
2009,North Coast,winter,67
2009,Central Coast,summer,496
2009,Central Coast,winter,159
2009,North Interior,summer,93
2009,North Interior,winter,21
2009,Sierra Nevada,summer,322
2009,Sierra Nevada,winter,94
2009,South Coast,summer,380
2009,South Coast,winter,197
2010,North Coast,summer,206
2010,North Coast,winter,66
2010,Central Coast,summer,509
2010,Central Coast,winter,105
2010,North Interior,summer,81
2010,North Interior,winter,15
2010,Sierra Nevada,summer,263
2010,Sierra Nevada,winter,113
2010,South Coast,summer,377
2010,South Coast,winter,139
2011,North Coast,summer,187
2011,North Coast,winter,46
2011,Central Coast,summer,489
2011,Central Coast,winter,109
2011,North Interior,summer,46
2011,North Interior,winter,12
2011,Sierra Nevada,summer,231
2011,Sierra Nevada,winter,57
2011,South Coast,summer,364
2011,South Coast,winter,105
2012,North Coast,summer,230
2012,North Coast,winter,75
2012,Central Coast,summer,461
2012,Central Coast,winter,163
2012,North Interior,summer,66
2012,North Interior,winter,22
2012,Sierra Nevada,summer,301
2012,Sierra Nevada,winter,173
2012,South Coast,summer,242
2012,South Coast,winter,140
2013,North Coast,summer,233
2013,North Coast,winter,54
2013,Central Coast,summer,425
2013,Central Coast,winter,88
2013,North Interior,summer,61
2013,North Interior,winter,20
2013,Sierra Nevada,summer,240
2013,Sierra Nevada,winter,84
2013,South Coast,summer,201
2013,South Coast,winter,109
2014,North Coast,summer,241
2014,North Coast,winter,113
2014,Central Coast,summer,346
2014,Central Coast,winter,236
2014,North Interior,summer,47
2014,North Interior,winter,32
2014,Sierra Nevada,summer,259
2014,Sierra Nevada,winter,165
2014,South Coast,summer,172
2014,South Coast,winter,106
2015,North Coast,summer,245
2015,North Coast,winter,43
2015,Central Coast,summer,371
2015,Central Coast,winter,65
2015,North Interior,summer,56
2015,North Interior,winter,7
2015,Sierra Nevada,summer,216
2015,Sierra Nevada,winter,70
2015,South Coast,summer,197
2015,South Coast,winter,101
2016,North Coast,summer,285
2016,North Coast,winter,83
2016,Central Coast,summer,467
2016,Central Coast,winter,109
2016,North Interior,summer,61
2016,North Interior,winter,19
2016,Sierra Nevada,summer,327
2016,Sierra Nevada,winter,66
2016,South Coast,summer,218
2016,South Coast,winter,82
2017,North Coast,summer,202
2017,North Coast,winter,28
2017,Central Coast,summer,529
2017,Central Coast,winter,99
2017,North Interior,summer,81
2017,North Interior,winter,15
2017,Sierra Nevada,summer,307
2017,Sierra Nevada,winter,74
2017,South Coast,summer,286
2017,South Coast,winter,115
2018,North Coast,summer,184
2018,North Coast,winter,72
2018,Central Coast,summer,452
2018,Central Coast,winter,173
2018,North Interior,summer,69
2018,North Interior,winter,30
2018,Sierra Nevada,summer,283
2018,Sierra Nevada,winter,124
2018,South Coast,summer,240
2018,South Coast,winter,184
2019,North Coast,summer,99
2019,North Coast,winter,92
2019,Central Coast,summer,206
2019,Central Coast,winter,183
2019,North Interior,summer,29
2019,North Interior,winter,21
2019,Sierra Nevada,summer,206
2019,Sierra Nevada,winter,111
2019,South Coast,summer,180
2019,South Coast,winter,111
2020,North Coast,summer,134
2020,North Coast,winter,56
2020,Central Coast,summer,278
2020,Central Coast,winter,80
2020,North Interior,summer,53
2020,North Interior,winter,13
2020,Sierra Nevada,summer,255
2020,Sierra Nevada,winter,99
2020,South Coast,summer,306
2020,South Coast,winter,117
